dataset,kernel,run,accuracy,f1_score,train_time,random_seed
ionosphere,LINEAR,11,87.17460317460318,86.85974802681423,0.28337149997241795,53
ionosphere,LINEAR,12,88.8888888888889,88.48943362195631,0.3043744000606239,54
ionosphere,LINEAR,13,88.88095238095237,88.44564270830716,0.3038789997808635,55
ionosphere,LINEAR,14,86.33333333333333,85.83900747025467,0.25265220017172396,56
ionosphere,LINEAR,15,87.75396825396825,87.40854754191082,0.4296493998263031,57
ionosphere,LINEAR,16,88.03174603174604,87.7083249970299,0.28061809996142983,58
ionosphere,LINEAR,17,87.73809523809524,87.37986241441307,0.3181223999708891,59
ionosphere,LINEAR,18,88.30952380952381,87.89582371479936,0.3216542999725789,60
ionosphere,LINEAR,19,87.21428571428571,86.86412041748093,0.32455740007571876,61
ionosphere,LINEAR,20,87.47619047619048,87.15420085403132,0.29725780012086034,62
ionosphere,LINEAR,21,86.0079365079365,85.71778030144473,0.3204084997996688,63
ionosphere,LINEAR,22,88.29365079365078,87.98398484920676,0.36146590020507574,64
ionosphere,LINEAR,23,85.46031746031746,85.0415154214871,0.32241160003468394,65
ionosphere,LINEAR,24,87.2063492063492,86.83978392536511,0.3519900001119822,66
ionosphere,LINEAR,25,87.1984126984127,86.6089412126777,0.42764750006608665,67
ionosphere,LINEAR,26,86.04761904761904,85.29366790262773,0.2999808001331985,68
ionosphere,LINEAR,27,86.33333333333333,86.02228661146519,0.3917098001111299,69
ionosphere,LINEAR,28,86.32539682539682,86.1214159772779,0.35627029999159276,70
ionosphere,LINEAR,29,88.61111111111111,88.29100263957422,0.3660321000497788,71
ionosphere,LINEAR,30,86.88888888888889,86.41261522319802,0.33885399997234344,72
ionosphere,LINEAR,31,87.73809523809524,87.30180197993865,0.2989833999890834,73
ionosphere,LINEAR,32,88.6031746031746,88.36098079039235,0.3467705000657588,74
ionosphere,LINEAR,33,87.16666666666664,86.79681892539884,0.34089410002343357,75
ionosphere,LINEAR,34,88.61111111111111,88.29279040562324,0.33280410012230277,76
ionosphere,POLY,0,91.72222222222223,91.42673503277271,0.14090629993006587,42
ionosphere,POLY,1,91.14285714285714,90.6711279365477,0.13944369996897876,43
ionosphere,POLY,2,92.0,91.59391969147534,0.14152880012989044,44
ionosphere,POLY,3,92.3015873015873,92.07583648139426,0.1402353998273611,45
ionosphere,POLY,4,92.5873015873016,92.34270133123177,0.14019370009191334,46
ionosphere,POLY,5,92.30952380952381,91.99962236394438,0.1379165998660028,47
ionosphere,POLY,6,91.46825396825398,91.158501168554,0.1378817001823336,48
ionosphere,POLY,7,93.15079365079364,92.91014746271179,0.13925489992834628,49
ionosphere,POLY,8,92.30952380952381,92.01245980282961,0.13742529996670783,50
ionosphere,POLY,9,92.58730158730157,92.34013807362672,0.13728280016221106,51
ionosphere,POLY,10,91.44444444444446,91.20390032208299,0.14002829999662936,52
ionosphere,POLY,11,92.01587301587301,91.74161895039555,0.13933979999274015,53
ionosphere,POLY,12,92.02380952380953,91.70694348707922,0.13851860002614558,54
ionosphere,POLY,13,92.30158730158729,91.928795993747,0.13734459993429482,55
ionosphere,POLY,14,92.5873015873016,92.35015746826913,0.1375168999657035,56
ionosphere,POLY,15,92.60317460317461,92.41745982107254,0.13910709996707737,57
ionosphere,POLY,16,92.03174603174604,91.74291465641765,0.141881899908185,58
ionosphere,POLY,17,92.86507936507937,92.62059215827647,0.13836369989439845,59
ionosphere,POLY,18,90.88888888888889,90.56153237114894,0.13833220000378788,60
ionosphere,POLY,19,91.16666666666667,90.84588868160164,0.1402261999901384,61
ionosphere,POLY,20,91.16666666666667,90.74794905611044,0.13933939998969436,62
ionosphere,POLY,21,91.43650793650794,91.09826468731187,0.14031919999979436,63
ionosphere,POLY,22,91.15079365079366,90.79228340669296,0.13995149987749755,64
ionosphere,POLY,23,92.57142857142856,92.31893304551218,0.13794109993614256,65
ionosphere,POLY,24,92.32539682539682,92.10737657145704,0.13686039997264743,66
ionosphere,POLY,25,92.03968253968254,91.79165013474531,0.13908899994567037,67
ionosphere,POLY,26,92.03174603174602,91.6985512931197,0.1395191999617964,68
ionosphere,POLY,27,92.01587301587303,91.69462698093535,0.1379295999649912,69
ionosphere,POLY,28,92.5952380952381,92.44251692997922,0.1384200998581946,70
ionosphere,POLY,29,91.15873015873015,90.97593667501854,0.1370591998565942,71
ionosphere,POLY,30,93.15079365079364,92.94262285216324,0.13934409990906715,72
ionosphere,POLY,31,91.44444444444444,91.15304015463656,0.1403731000609696,73
ionosphere,POLY,32,92.87301587301589,92.69956894766722,0.13792199990712106,74
ionosphere,POLY,33,92.30952380952381,92.0950211710043,0.13759549986571074,75
ionosphere,POLY,34,92.31746031746033,92.06686466970784,0.13791860011406243,76
ionosphere,RBF,0,95.15079365079364,95.13123514286391,0.16181339998729527,42
ionosphere,RBF,1,94.57936507936508,94.53148023862775,0.15954450005665421,43
ionosphere,RBF,2,94.29365079365078,94.20440338500696,0.1603878999594599,44
ionosphere,RBF,3,94.57142857142857,94.51993665057759,0.16078249993734062,45
ionosphere,RBF,4,94.59523809523809,94.52145302841879,0.16030790004879236,46
ionosphere,RBF,5,94.6031746031746,94.56321181704655,0.16117119998671114,47
ionosphere,RBF,6,95.15873015873015,95.13890649841862,0.1600063000805676,48
ionosphere,RBF,7,95.16666666666667,95.13247025016561,0.15891739982180297,49
ionosphere,RBF,8,95.15873015873015,95.10815488978788,0.15934480004943907,50
ionosphere,RBF,9,95.73015873015873,95.65448316921028,0.16060730000026524,51
ionosphere,RBF,10,96.29365079365077,96.25994470174406,0.16096979985013604,52
ionosphere,RBF,11,95.15079365079364,95.12828899044506,0.16089310008101165,53
ionosphere,RBF,12,94.0079365079365,93.92678017912162,0.16104639996774495,54
ionosphere,RBF,13,94.58730158730158,94.54393032059347,0.1597202999982983,55
ionosphere,RBF,14,96.0,95.90424303833416,0.15991090005263686,56
ionosphere,RBF,15,95.44444444444444,95.41810762795946,0.16008169995620847,57
